epoch number,train loss,validation loss,train iou_score,validation iou_score,train f1_score,validation f1_score,train f2_score,validation f2_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,train specificity,validation specificity,test loss,test iou_score,test f1_score,test f2_score,test accuracy,test recall,test precision,test specificity,train iou score,train f1 score,train f2 score,validation iou score,validation f1 score,validation f2 score,test iou score,test f1 score,test f2 score
1.0,0.4882270593321725,0.3283859147475316,,,,,,,0.8756932140736098,0.9531680391385003,0.6202725593325698,0.6429755435540125,0.5239345101493128,0.7035314761675321,0.8950229163250226,0.9757674817855542,,,,,,,,,0.3574177642574264,0.5032525791033181,0.5359531548042622,0.4957774270039338,0.6551323005786309,0.6446739435195923,,,
2.0,0.2928812852066554,0.2764119276633629,,,,,,,0.9542674268229624,0.9613186441935024,0.6750761407814668,0.6860116055378547,0.7226297671205542,0.7588652051412142,0.9754310980271758,0.981072696355673,,,,,,,,,0.5228460193350074,0.6795362736401933,0.6723128704542525,0.5588456208889301,0.7083941789773794,0.6928396614698263,,,
3.0,0.2572934955693363,0.2581721613040337,,,,,,,0.959305788024088,0.9620256561499376,0.714672546708182,0.748684477347594,0.7460799923773562,0.7329553984678708,0.9777893872743242,0.9772947155512296,,,,,,,,,0.565493551532874,0.7153401140416606,0.7105099886990665,0.5884258598089218,0.7329485989533938,0.7405871038253491,,,
4.0,0.2390085847190257,0.2523553325579716,,,,,,,0.9616378210903552,0.9636555566237524,0.7338696624455827,0.727659285068512,0.756882747237602,0.7630779559795673,0.978824721293503,0.9805729985237122,,,,,,,,,0.5874381872375359,0.7335101479894659,0.7305281122079056,0.5912925188358014,0.7346590551046225,0.728461891412735,,,
5.0,0.22546020920357,0.2456685602664947,,,,,,,0.9633680615532264,0.9630923087780292,0.7426175100080082,0.7772311568260193,0.7698337388842293,0.7295681696671706,0.979957311340932,0.976393617116488,,,,,,,,,0.6021229537685265,0.745047884710719,0.7406130151802235,0.6049765921556033,0.7459710973959702,0.7627980571526748,,,
6.0,0.2146248214700248,0.245499482521644,,,,,,,0.9647913735904052,0.9628093701142532,0.7587736992353804,0.7710749346476334,0.7740399569607852,0.740176395728038,0.980387569143531,0.9764814995802366,,,,,,,,,0.6181579131758614,0.7576712791839343,0.7556448297554188,0.6048544095112727,0.7454432478317847,0.7582623775188739,,,
7.0,0.2060612051674489,0.2426804716770465,,,,,,,0.9661913514137268,0.9635847417207865,0.7579279809855344,0.7746641888068273,0.7855594486333011,0.737877029639024,0.981992268830203,0.977056466616117,,,,,,,,,0.6262047210436189,0.7637205190872878,0.7579690733652437,0.6084979543319116,0.74822909786151,0.7621224981087905,,,
8.0,0.1994680601559328,0.2510016835652865,,,,,,,0.966947492588772,0.9622310354159428,0.764673198876756,0.7549481896253732,0.7884419138511914,0.7478440885360425,0.9823692374015124,0.9771496836955732,,,,,,,,,0.6339214149485813,0.7697848711120948,0.7646355635664436,0.5967176166864542,0.7382379747354068,0.7452605733504662,,,
9.0,0.1996768994277782,0.2248495771334721,,,,,,,0.9667820562137648,0.9676422728941992,0.7694412677475576,0.755880763897529,0.7852263383651048,0.7858253029676584,0.9817103361815548,0.9830938233779029,,,,,,,,,0.6340021986639901,0.7691631250167161,0.7662876683674501,0.6305091426922724,0.7646365899306077,0.7581444015869727,,,
10.0,0.1889675688207819,0.2299513243711911,,,,,,,0.9683583512734832,0.9673363933196436,0.7752141035004948,0.7303304970264435,0.796693102027593,0.8028233257623819,0.983123072077719,0.984620403784972,,,,,,,,,0.648029966970508,0.7799801431345136,0.775150069359983,0.6199577863399799,0.7560810951086191,0.738708672615198,,,
