epoch number,train loss,validation loss,train iou_score,validation iou_score,train f1_score,validation f1_score,train f2_score,validation f2_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,train specificity,validation specificity,test loss,test iou_score,test f1_score,test f2_score,test accuracy,test recall,test precision,test specificity,train iou score,train f1 score,train f2 score,validation iou score,validation f1 score,validation f2 score
1.0,0.5237427333767495,0.3551130271874941,,,,,,,0.8027805402205231,0.9462878085099734,0.669322857139776,0.683575485761349,0.4784505002284318,0.634871067909094,0.812289095577899,0.9654302917993984,,,,,,,,,0.3277494646301441,0.4658560131269695,0.5149136282561813,0.4817900990064327,0.6417112786036271,0.662183186182609
2.0,0.2773826812090498,0.287640624321424,,,,,,,0.9561800106187884,0.9570923562233264,0.6924189376027396,0.7225399269507482,0.7272209170159329,0.7023978577210352,0.9760841224970442,0.9736513334971209,,,,,,,,,0.5396717689680249,0.6934728012995773,0.6881501085302802,0.5482423259661748,0.6997723854505099,0.7107611504884866
3.0,0.2513634991110041,0.2910004120606642,,,,,,,0.9604923798796836,0.9516598994915302,0.7204260183184334,0.8181423315635095,0.7515171444817875,0.6345281761426192,0.9786747265397832,0.9610531192559464,,,,,,,,,0.5730966450123305,0.7217349014925153,0.7167572593421079,0.5564323652249116,0.7078493535518646,0.7673967090936807
4.0,0.2255140455921044,0.2621661424636841,,,,,,,0.9634595533435264,0.9601941865224104,0.7464978447121181,0.7586444845566382,0.7668151821982995,0.7229209290100977,0.9798714525244208,0.9747261794713828,,,,,,,,,0.6046103071630671,0.747478632444746,0.7441948638873154,0.585068899851579,0.7302986566837018,0.7440507251482743
5.0,0.2145678709062297,0.241860751922314,,,,,,,0.9648780735690942,0.9631378856989052,0.7510472415538316,0.7908647220868331,0.777159632591719,0.7243295724575336,0.981096443165554,0.9755538931259742,,,,,,,,,0.6163453754414333,0.7565031761533758,0.7515941684165698,0.6108552916691854,0.7504204282393823,0.7726475894451141
6.0,0.2142623683040061,0.2366228928932776,,,,,,,0.964759142211314,0.9650133641866536,0.7599330370345813,0.7673303851714501,0.7749541629566236,0.7564077789966877,0.9803575679157556,0.9796080864392794,,,,,,,,,0.619625638040264,0.7589435758215658,0.7576069296076057,0.6178465485572815,0.7554287566588476,0.7607642297561352
7.0,0.2026901720614915,0.2292652473999903,,,,,,,0.9666444223918272,0.9661220403817984,0.7663507983925637,0.7798685821203085,0.783646700087558,0.7572248188348917,0.9820131826936528,0.9797284167546492,,,,,,,,,0.6318298009004486,0.7677485025330876,0.7640443290217539,0.6273746501940948,0.7626899755918063,0.7715295048860403
8.0,0.1934512739770867,0.2221316741063044,,,,,,,0.9679562087809102,0.9683643785806804,0.7738676466298907,0.748637889440243,0.7921745080626412,0.7976093383935782,0.982860597331872,0.9845496232693012,,,,,,,,,0.6444669097996829,0.777437881807263,0.7734670263997624,0.633534814302738,0.7668330486004169,0.7546164576823895
9.0,0.1885582108176156,0.2215823370676774,,,,,,,0.9686252374327584,0.9684986151181736,0.7794221934307827,0.7457778774774991,0.7962319362029601,0.8016255176984347,0.9832151096858336,0.9848293570371774,,,,,,,,,0.6510289679752307,0.7825789089952961,0.7788334421897203,0.6333540081977844,0.7663827309241662,0.7526459441735194
10.0,0.1813575906699963,0.2215494513511657,,,,,,,0.969685642237074,0.967596446092312,0.7817584142256319,0.7730441001745371,0.8049935410531719,0.7787206975313333,0.9841957701725906,0.9818483155507308,,,,,,,,,0.6595095195127337,0.7885927611522461,0.7828485764814227,0.6374582006381109,0.7693952344931089,0.7697775937043704
11.0,0.1809264495131674,0.2158965835204491,,,,,,,0.9696235060691832,0.9684403859652004,0.7863561785622929,0.7759959904047159,0.8042048028345858,0.785122995193188,0.9837497861197824,0.982617545586366,,,,,,,,,0.6624128182282608,0.7911031232791,0.7872877261611853,0.6442235914560465,0.7745369099653684,0.7740697516844823
12.0,0.1746017926194694,0.2168332796830397,,,,,,,0.9704483513082012,0.9679059500877674,0.7885316730885024,0.7904305847791525,0.8091421368416776,0.768910112289282,0.984497825751144,0.980988887640146,,,,,,,,,0.6676622475131174,0.7943673602650675,0.7892580059137237,0.6435485688539652,0.774120787015328,0.7825788190731635
13.0,0.1754941002706463,0.212695103425246,,,,,,,0.9702284182055612,0.9689533068583562,0.7874906518486109,0.7802489675008334,0.8090311255347863,0.7847903577181009,0.9843524955631642,0.9827235822494214,,,,,,,,,0.666736412584112,0.7940987777174189,0.7891923229346115,0.6478271025877732,0.7768469613332015,0.7778319578904372
14.0,0.1766762070441513,0.2112765197570507,,,,,,,0.971269081817584,0.9696158835521111,0.7935436106799694,0.7674844861030579,0.816053648343247,0.7982287865418655,0.9850607367044084,0.9846118023762336,,,,,,,,,0.676807068037183,0.8014008831442072,0.7958675020196465,0.6484713714856368,0.7775002717971802,0.7703377971282372
15.0,0.1663840151904674,0.2126626280637887,,,,,,,0.971386723973778,0.969463185622142,0.7962103593215514,0.763175565462846,0.8143501308526886,0.8014284303555121,0.9849903556738008,0.9847551171596234,,,,,,,,,0.6775153480219037,0.801587505286999,0.7968937694356683,0.6471555531024933,0.7762705706633054,0.7669839469286112
16.0,0.1628511340430613,0.20841662471111,,,,,,,0.971952962071708,0.970034115589582,0.79723901561137,0.7672440776458154,0.8195176981808094,0.7982670641862429,0.9855013811186458,0.9850774888808912,,,,,,,,,0.6820834017871471,0.8047678410337212,0.7987875576769368,0.6500784456729889,0.7785157286203824,0.7708391226254977
17.0,0.1613868026251203,0.2084682102386768,,,,,,,0.9721519920263396,0.9690106694514936,0.7994032569145888,0.796648580294389,0.8221949928262261,0.7778078844914069,0.9855956508872216,0.9816296238165636,,,,,,,,,0.6854222952649834,0.8075027224722873,0.8019248481546895,0.6542611603553479,0.7817985965655401,0.7894883385071387
