epoch number,train loss,validation loss,train iou_score,validation iou_score,train f1_score,validation f1_score,train f2_score,validation f2_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,train specificity,validation specificity,test loss,test iou_score,test f1_score,test f2_score,test accuracy,test recall,test precision,test specificity,train iou score,train f1 score,train f2 score,validation iou score,validation f1 score,validation f2 score,test iou score,test f1 score,test f2 score
1.0,0.4088588390457496,0.3378858107786912,,,,,,,0.9143584146258537,0.9476479842112616,0.6268893799069599,0.7114647993674645,0.6116254506737329,0.6285286912551293,0.9363197515394246,0.964677285689574,,,,,,,,,0.4233408579040381,0.5737288861844186,0.5846482125984693,0.4977142237699948,0.6558067363042098,0.6845156160684732,,,
2.0,0.2835316892420308,0.2826688450116377,,,,,,,0.955436946300978,0.9587702659460214,0.6958330829491776,0.711389415539228,0.7261012136266473,0.7251870884345128,0.9750715547733092,0.9766566776312314,,,,,,,,,0.5374806566854541,0.6910165588507492,0.6890276449449947,0.557281262599505,0.7071625017202817,0.7069786534859583,,,
3.0,0.2536480969257569,0.2934897954647357,,,,,,,0.9596097924736108,0.9540256422299606,0.7269365104396691,0.751677352648515,0.744299585229895,0.6712172260651221,0.977138833383496,0.9683477855645694,,,,,,,,,0.573415445477775,0.7211027942346723,0.7201221280553368,0.5471765318742166,0.6973425700114324,0.7252943080205184,,,
4.0,0.2396084545703416,0.261479921065844,,,,,,,0.9608110738604256,0.9612584801820608,0.739388638667846,0.7493210732936859,0.750349887971128,0.7320225055401142,0.9774215382136656,0.976452994805116,,,,,,,,,0.5853957178887357,0.7309149657742361,0.7315815204984686,0.5870212820860056,0.7293061889134921,0.7383061968363248,,,
5.0,0.220983319737938,0.2383311918148627,,,,,,,0.963666893792956,0.9651306638350854,0.753517771704813,0.7594891144679143,0.7675428162799792,0.7579133235491239,0.9795237304119582,0.9800675946932572,,,,,,,,,0.6084958535901616,0.7490776857633269,0.7479620783516531,0.6146997052889603,0.7524023285278907,0.7551474479528574,,,
6.0,0.2230803859367799,0.2311978638172149,,,,,,,0.9642997397465652,0.9657615652451148,0.7546160174219796,0.7756736668256613,0.7725790859608168,0.7541743035499866,0.980084160740456,0.9794996839303236,,,,,,,,,0.6139850606409352,0.7531300146927994,0.7511475836293081,0.6237674653530121,0.7593474388122559,0.7678311329621536,,,
7.0,0.2113065511992808,0.2285421995016244,,,,,,,0.965228064006634,0.9666025638580322,0.7674725470917948,0.7621172804098862,0.773814753200231,0.7713141831067892,0.9801927275871962,0.981515393807338,,,,,,,,,0.6231269756059968,0.7605447655313471,0.761212853903181,0.6256544062724481,0.7604767886491922,0.7600919283353366,,,
8.0,0.2018285360229149,0.2538418494738065,,,,,,,0.966548704699184,0.9651019619061396,0.7731080704860473,0.6771068550073184,0.7816140276662419,0.8235928209928366,0.9812555875671044,0.9863393879853762,,,,,,,,,0.6339754957831307,0.768657356165768,0.7681392203556018,0.5855598999903753,0.7293213835129371,0.6946408450603485,,,
9.0,0.2003130122516932,0.2228567393926473,,,,,,,0.9665009078015102,0.967377823132735,0.7729923919345556,0.7633353632230025,0.7859196395016788,0.7786619663238525,0.9811878284711516,0.9822611740002264,,,,,,,,,0.6360500032982129,0.7703311771489261,0.7693497732783972,0.6319869046027844,0.7646953165531158,0.7626657302563007,,,
10.0,0.1945203368583422,0.2376546103220719,,,,,,,0.9675394350223327,0.9641057871855222,0.7788764841101142,0.7711878097974337,0.7889240960056862,0.7524218031993279,0.9819414267379246,0.9780172476401696,,,,,,,,,0.6434216017133734,0.7758170486835951,0.7745469741606981,0.6160234212875366,0.7525614339571732,0.7613602372316214,,,
