epoch number,train loss,validation loss,train iou_score,validation iou_score,train f1_score,validation f1_score,train f2_score,validation f2_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,train specificity,validation specificity,test loss,test iou_score,test f1_score,test f2_score,test accuracy,test recall,test precision,test specificity,train iou score,train f1 score,train f2 score,validation iou score,validation f1 score,validation f2 score,test iou score,test f1 score,test f2 score
1.0,0.978735802548655,1.0,,,,,,,0.9036725744437636,0.9268446931472192,0.0646553321458985,0.0,0.9157292784264918,1.0,0.9715452624505824,1.0,,,,,,,,,0.0200798056935996,0.0307907283808408,0.0400931253568844,0.0,0.0,0.0,,,
2.0,1.0,1.0,,,,,,,0.9249964155507892,0.9264942843180436,0.0024968789199764,0.0,1.0,1.0,1.0,1.0,,,,,,,,,0.0024968789199764,0.0024968789199764,0.0024968789199764,0.0,0.0,0.0,,,
3.0,1.0,1.0,,,,,,,0.924994360195117,0.926750735594676,0.0024968789199764,0.0,1.0,1.0,1.0,1.0,,,,,,,,,0.0024968789199764,0.0024968789199764,0.0024968789199764,0.0,0.0,0.0,,,
4.0,1.0,1.0,,,,,,,0.9249864113464784,0.926589227639712,0.0024968789199764,0.0,1.0,1.0,1.0,1.0,,,,,,,,,0.0024968789199764,0.0024968789199764,0.0024968789199764,0.0,0.0,0.0,,,
5.0,1.0,1.0,,,,,,,0.9250133787648062,0.9267398348221412,0.0024968789199764,0.0,1.0,1.0,1.0,1.0,,,,,,,,,0.0024968789199764,0.0024968789199764,0.0024968789199764,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,0.8685399989287058,,,,0.9249680737654368,0.0,0.4592592691381772,0.9999795158704122,,,,,,,0.0,0.0,0.0
