epoch number,train loss,validation loss,train iou_score,validation iou_score,train f1_score,validation f1_score,train f2_score,validation f2_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,train specificity,validation specificity,test loss,test iou_score,test f1_score,test f2_score,test accuracy,test recall,test precision,test specificity,train iou score,train f1 score,train f2 score,validation iou score,validation f1 score,validation f2 score,test iou score,test f1 score,test f2 score
1.0,0.476226556836889,0.3490864657438718,,,,,,,0.8685575976465525,0.9535335554526404,0.6083631319372543,0.5675904257939413,0.5482845993691616,0.7366824608582717,0.8881160615200407,0.981672607935392,,,,,,,,,0.3618219552154187,0.5079193007589443,0.5270429552033062,0.4618821900624495,0.6201121050577897,0.584557485121947,,,
2.0,0.3066977831754791,0.294742818062122,,,,,,,0.9520328661029258,0.956570001748892,0.6610383438260368,0.7051932422014383,0.7086223092641724,0.7058155376177567,0.973914836899618,0.974550350354268,,,,,,,,,0.5039174034354392,0.6607646007886093,0.6548896723248986,0.5420108150977355,0.6939902282678164,0.6981293398600358,,,
3.0,0.283136633005035,0.290192037820816,,,,,,,0.9552369198102628,0.9555637928155752,0.6913280192385899,0.7422120364812704,0.7292922845717227,0.6887045754836156,0.975080180703924,0.9706670000002936,,,,,,,,,0.5347917917069425,0.6879622648271282,0.6847848785057497,0.552883043885231,0.7023301239197071,0.7223537380878742,,,
4.0,0.25360549500819,0.2743849868957813,,,,,,,0.9594882338234548,0.9593957249934856,0.7185369053583467,0.7256888036544507,0.7466229086511591,0.7333113046792837,0.9774884240011152,0.9760694985206312,,,,,,,,,0.5684379131606455,0.7169053259860264,0.7132846264356978,0.568101051908273,0.7143768393076383,0.7174974977970123,,,
5.0,0.2426976514666268,0.2638547856074113,,,,,,,0.9608286465151926,0.9621153909426468,0.7287794016720204,0.7030627727508545,0.754801567016023,0.7746094900828141,0.978155847345845,0.9809931860520288,,,,,,,,,0.5812826036067491,0.7266184446517001,0.7234370989745922,0.5772012712863775,0.7226579097601084,0.7076661609686338,,,
6.0,0.2270499869678797,0.243620386490455,,,,,,,0.963223410456368,0.9657695568524874,0.7456680455904329,0.7121933606954721,0.7657260305426093,0.7922217639592978,0.9796087319931288,0.9840816213534428,,,,,,,,,0.6024640624442797,0.7443373055940263,0.7413631369558613,0.601487995340274,0.7415284858300135,0.7221126785645118,,,
7.0,0.2341109956248422,0.2478550718380854,,,,,,,0.9626591768157616,0.9647925289777608,0.7378903664229961,0.7177493090812976,0.7656870424077752,0.7848041974581205,0.979627252294776,0.9827373188275558,,,,,,,,,0.5951738702447227,0.7383206098267202,0.7340615210908182,0.5987186844532306,0.7395094426778647,0.7240985448543842,,,
8.0,0.213832012053286,0.2302064070334801,,,,,,,0.9651763472664222,0.9663346203473898,0.7524005643437418,0.7639111830638006,0.7774526697866032,0.7598595596276797,0.9812029472897562,0.9810906625711,,,,,,,,,0.616707365164596,0.7553034096621396,0.7503217646245206,0.6225050045893743,0.7581569323172936,0.7607086805196909,,,
9.0,0.2330565820918994,0.2436149510053488,,,,,,,0.9621669141094336,0.9625544318786036,0.7484815981280938,0.7941807646017808,0.7640336751937866,0.7267797405903156,0.9781890812884556,0.9745505039508526,,,,,,,,,0.5993303217914667,0.7410568327046512,0.741589839873689,0.6139099666705499,0.7511987433983729,0.7740870782962213,,,
10.0,0.2074965660491686,0.2549344530472389,,,,,,,0.9659741715099036,0.960532653790254,0.7667649569136373,0.7736544219347147,0.7812442464774914,0.7330011817125174,0.981022005670526,0.9737864205470452,,,,,,,,,0.6289369370160478,0.764656003941311,0.7624939954682682,0.5980195953295782,0.7372737595668206,0.7543629270333511,,,
