epoch number,train loss,validation loss,train f1_score,validation f1_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,test loss,test f1_score,test accuracy,test recall,test precision,train f1 score,validation f1 score,test f1 score
1.0,0.7924941374975092,1.0434235095977784,,,0.6369747899159663,0.7071428571428572,0.6076680672268908,0.5322619047619048,,0.8257142857142856,,,,,,0.5736973962115103,0.6322943722943724,
2.0,0.5680064453798181,3.228688436746597,,,0.7273109243697479,0.5428571428571428,0.7154135896782957,0.0517857142857142,0.7677807486631018,,,,,,,0.706695131089595,0.0872222222222222,
3.0,0.5178209056749064,1.0685891151428222,,,0.7546218487394957,0.6642857142857143,0.7110877684407098,0.3373556998556998,0.8068977591036416,,,,,,,0.7149062874841423,0.4179287379287378,
4.0,0.5718204681487644,0.8719019412994384,,,0.7289915966386554,0.6428571428571428,0.7308112638994992,0.3638095238095237,0.7527003225532638,0.8333333333333333,,,,,,0.710101787869954,0.49004329004329,
5.0,0.5146602173061932,0.6412426352500915,,,0.7344537815126051,0.6857142857142857,0.6786923860453272,0.6498809523809523,0.7958216619981328,0.6877777777777777,,,,,,0.7110885942200824,0.643958133369898,
6.0,0.5903124555068857,1.242823129892349,,,0.7033613445378151,0.55,0.7705999066293184,0.1676190476190476,0.7347572362278245,,,,,,,0.7151758723580798,0.2477272727272727,
7.0,0.5475168797899695,0.5991246312856674,,,0.7529411764705882,0.6714285714285715,0.7323020117137766,0.4416666666666666,0.8056956115779647,0.7857142857142857,,,,,,0.738769496554964,0.5391017316017316,
8.0,0.4766053509186296,0.6159104496240616,,,0.7777310924369747,0.6642857142857144,0.7224673202614379,0.6414285714285713,0.8227240896358545,0.688531746031746,,,,,,0.7512038142456099,0.6466325341325342,
9.0,0.4596128170104587,0.6431299284100532,,,0.8012605042016806,0.6642857142857143,0.7848813767931418,0.5693434343434344,0.8230158730158731,0.71,,,,,,0.786629964614394,0.612156862745098,
10.0,0.4302019976517733,0.6171704590320587,,,0.7978991596638657,0.7071428571428571,,0.6673629148629148,0.810609243697479,0.7089285714285714,,,,,,0.786626483858318,0.6732725607725607,
11.0,0.4011314252720159,0.5852380365133285,,,0.8155462184873948,0.7214285714285715,0.82109010270775,0.6378354978354979,0.8239845938375351,0.7773809523809523,,,,,,0.810017519965617,0.6914242620124973,
12.0,0.3909138204420314,1.2919960349798203,,,0.819747899159664,0.5857142857142856,0.7540340378575673,0.93,0.8896358543417368,0.5495504495504495,,,,,,0.8009121941010486,0.6792384965134326,
13.0,0.383106108974008,0.6263659343123436,,,0.8403361344537813,0.7142857142857143,0.8690009337068161,0.658015873015873,0.840919701213819,0.7325,,,,,,0.8407605946533284,0.67684789067142,
14.0,0.3588430526501992,0.6149133682250977,,,0.8470588235294116,0.7071428571428571,0.8523809523809525,0.6497619047619049,0.8472455648926239,0.7388888888888888,,,,,,0.8401588127366676,0.6747832722832723,
15.0,0.3677725568413734,0.6764482319355011,,,0.8348739495798316,0.6928571428571428,0.8081932773109246,0.6594047619047617,0.8628151260504202,0.6907142857142856,,,,,,0.8200739187763413,0.6677417027417027,
16.0,0.3487823509118136,0.6662201225757599,,,0.8453781512605042,0.7,0.8153361344537818,0.5782142857142857,0.8943977591036415,0.759047619047619,,,,,,0.8357476721663574,0.6440497737556561,
17.0,0.3402081515420885,0.6707526803016662,,,0.8491596638655461,0.6928571428571428,0.8479511501570327,0.667142857142857,0.8688141923436041,0.7275,,,,,,0.8402720933430278,0.6557575757575758,
18.0,0.3336742546628503,0.6361999452114105,,,0.8516806722689074,0.7071428571428571,0.8514705882352943,0.6567460317460317,0.8682656395891691,0.7379761904761903,,,,,,0.8499532757454814,0.6726398764634058,
19.0,0.3402065336704254,0.6328285485506058,,,0.8428571428571426,0.7,0.8518069348951702,0.6853968253968253,0.8459617180205415,0.7135714285714286,,,,,,0.8326398936966232,0.6713664629144505,
20.0,0.3334475058843107,0.6218888655304908,,,0.8533613445378151,0.7,0.8652661064425771,0.6754761904761905,0.8627450980392157,0.7203571428571429,,,,,,0.8476619641412029,0.6811743158801982,
,,,,,,,,,,,0.4021551311016083,,0.8428571428571429,0.8126984126984127,0.8683333333333334,,,0.8306643356643356
