epoch number,train loss,validation loss,train accuracy,validation accuracy,test loss,test accuracy
1.0,0.759988043077932,28.441968322893896,0.6631854176521301,0.5045871138572693,,
2.0,0.475342010821437,0.5421502527293809,0.772845983505249,0.7706421613693237,,
3.0,0.4169103872060153,0.3822336139482096,0.8224543333053589,0.8715596199035645,,
4.0,0.414630783600222,0.7400067404869499,0.8250653147697449,0.81651371717453,,
5.0,0.3648414848756541,0.3109925106304501,0.8485639691352844,0.8899081945419312,,
6.0,0.4218096169728212,0.5033819341878278,0.8172323703765869,0.8348623514175415,,
7.0,0.4274121799528131,1.0221980924316505,0.8224543333053589,0.7339448928833008,,
8.0,0.3532874202136893,0.3891936947993182,0.8590078353881836,0.8073394298553467,,
9.0,0.2674201285909112,0.4420087936274502,0.9007833003997804,0.81651371717453,,
10.0,0.2345050494271688,0.3807331796632994,0.8929504156112671,0.8348623514175415,,
11.0,0.2278685652050275,0.3530108472076031,0.9033942818641664,0.8440366387367249,,
12.0,0.2182031788573875,0.3579143194157049,0.9164491295814514,0.853210985660553,,
13.0,0.2143994883023805,0.3622471717519497,0.9112271666526794,0.8348623514175415,,
14.0,0.2393683394704101,0.3106411859188058,0.9060052633285522,0.8440366387367249,,
15.0,0.2053350728812479,0.3363636086840148,0.9216710329055786,0.8348623514175415,,
16.0,0.1606651192078702,0.3257716792985933,0.937336802482605,0.8348623514175415,,
17.0,0.186609128436594,0.3760074103644135,0.9347258806228638,0.8348623514175415,,
18.0,0.1922504198457802,0.320179093321529,0.9216710329055786,0.8348623514175415,,
19.0,0.1913391688726745,0.3119329435562868,0.9086161851882936,0.8440366387367249,,
20.0,0.1548923975727265,0.3237005824889611,0.9347258806228638,0.8348623514175415,,
21.0,0.2073020520899688,0.3305685372527586,0.9164491295814514,0.8348623514175415,,
22.0,0.1818789087586085,0.3087541646913651,0.9242820143699646,0.8440366387367249,,
23.0,0.1445015477352136,0.3416402676236739,0.9451697468757628,0.8256880640983582,,
24.0,0.1524558074227668,0.3557896931237037,0.95039165019989,0.8256880640983582,,
25.0,0.2038119198564761,0.300151845457357,0.9060052633285522,0.853210985660553,,
26.0,0.201687161078769,0.3270541229926118,0.9295039176940918,0.8348623514175415,,
27.0,0.194726086063578,0.3105030700974508,0.9268929362297058,0.8440366387367249,,
28.0,0.181357506147097,0.331296090959409,0.937336802482605,0.8256880640983582,,
29.0,0.1695447476682868,0.3285117015379284,0.937336802482605,0.8256880640983582,,
30.0,0.1737697452316474,0.3226442460073243,0.9242820143699646,0.81651371717453,,
31.0,0.1838896883744017,0.3137938221660229,0.9321148991584778,0.8440366387367249,,
32.0,0.2615184604674189,0.3004270183657287,0.9112271666526794,0.8440366387367249,,
33.0,0.1255919835274898,0.337473110184757,0.9608355164527892,0.8256880640983582,,
34.0,0.1501611676553444,0.3246813253798616,0.939947783946991,0.81651371717453,,
35.0,0.1967070964079924,0.3414127718691432,0.9138381481170654,0.8348623514175415,,
36.0,0.1687074247407228,0.3107148577724028,0.9477806687355042,0.8440366387367249,,
37.0,0.1885037633344803,0.3215340416912638,0.937336802482605,0.8348623514175415,,
38.0,0.160115694311051,0.3195125448320984,0.9268929362297058,0.8440366387367249,,
39.0,0.2180692904456166,0.3133178042982696,0.9086161851882936,0.8256880640983582,,
40.0,0.1687910011373752,0.311832060610209,0.9321148991584778,0.8440366387367249,,
41.0,0.1727138798849234,0.3185057828732587,0.9295039176940918,0.8348623514175415,,
42.0,0.1895631279008506,0.3025686931582765,0.9190600514411926,0.8440366387367249,,
43.0,0.1965474910917388,0.3089907934906286,0.9242820143699646,0.8440366387367249,,
44.0,0.128603466759696,0.3281943141867261,0.9582245349884032,0.8256880640983582,,
45.0,0.2316115159084218,0.3199617640551077,0.9138381481170654,0.8256880640983582,,
46.0,0.1544531006609179,0.327837106558161,0.9477806687355042,0.8256880640983582,,
47.0,0.1699637274984902,0.3087630412720759,0.937336802482605,0.8440366387367249,,
48.0,0.1971583352193197,0.306024760349628,0.9268929362297058,0.8440366387367249,,
49.0,0.2022130360958159,0.3154101237791394,0.9216710329055786,0.8440366387367249,,
50.0,0.1481060362700616,0.3118253922380438,0.942558765411377,0.8440366387367249,,
,,,,,0.2783856412460064,0.8793103694915771
